hebrew,hebrew_alt,english,transliteration,skill,page
מקבילית,מקביליות,Parallelogram,mak'bilit mak'biliyot,Geometry,61
טריגונומטריה,,Trigonometry,t'rigonomet'r'yah,Geometry,61
יחידת מידה,יחידות מידה,Unit of Measure,y'khidah midah y'khidot midah,Geometry,61
למדוד,,"To Measure, Try (Clothes) (Qal)",lim'dod,Geometry,61
כבוד,,"Honour, Respect, Dignity",kavod,Abstract Objects 2,62
מאמץ,מאמצים,"Effort, Strain",ma'amatz ma'amatzim,Abstract Objects 2,62
אופי,אופיים,Character; Personality,ofi ofayim,Abstract Objects 2,62
מקור,מקורות,"Source, Origin",makor m'korot,Abstract Objects 2,62
כיוון,כיוונים,Direction,kivun kivunim,Abstract Objects 2,62
סוד,סודות,Secret,sod sodot,Abstract Objects 2,62
ניסיון,ניסיונות,Experience,nisayon nis'yonot,Abstract Objects 2,62
נזק,נזקים,Damage,nezek n'zakim,Abstract Objects 2,62
סמל,סמלים,"Symbol, Icon",semel s'malim,Abstract Objects 2,62
כוח,כוחות,"Power, Strength",koakh kokhot,Abstract Objects 2,62
ספק,ספקות,Doubt,safek s'fekot,Abstract Objects 2,62
פחד,פחדים,Fear,pakhad p'khadim,Abstract Objects 2,62
הומור,,Humour,humor,Abstract Objects 2,62
ביטוי,ביטויים,"Expression, Phrase, Idiom",bituy bituyim,Abstract Objects 2,62
רצח,רציחות,Murder,retzakh r'tzikhot,Abstract Objects 2,62
חיוך,חיוכים,Smile,khiyukh khiyukhim,Abstract Objects 2,62
צל,צללים,"Shadow, Shade",tzel tz'lalim,Abstract Objects 2,62
זיכרון,זיכרונות,Memory,zikaron zikh'ronot,Abstract Objects 2,62
הפסד,הפסדים,"Loss, Damages",hef'sed hef'sedim,Abstract Objects 2,62
ניצחון,ניצחונות,Victory,nitzakhon nitz'khonot,Abstract Objects 2,62
שקר,שקרים,Lie,sheker sh'karim,Abstract Objects 2,62
חוש,חושים,Sense,khush khushim,Abstract Objects 2,62
הבדל,הבדלים,Difference,hev'del hev'dalim,Abstract Objects 2,62
בסיס,בסיסים,Basis,basis b'sisim,Abstract Objects 2,62
יופי,,Beauty,yofi,Abstract Objects 2,62
מזל,,Luck,mazal,Abstract Objects 2,62
תועלת,,Value,to'elet,Abstract Objects 2,62
תשומת לב,,Attention,t'sumat lev,Abstract Objects 2,62
רשות,רשויות,Permission,r'shut r'shuyot,Abstract Objects 2,62
מציאות,מציאויות,Reality; Existence,m'tzi'ut m'tzi'uyot,Abstract Objects 2,62
התנהגות,התנהגויות,"Behaviour, Conduct",hit'nahagut hit'nahaguyot,Abstract Objects 2,62
חתימה,חתימות,Signature,khatimah khatimot,Abstract Objects 2,62
עמדה,עמדות,Position,em'dah adamot,Abstract Objects 2,62
אחריות,אחריויות,Responsibility,akharayut akharayuyot,Abstract Objects 2,62
גישה,גישות,"Approach, Attitude",gishah gishot,Abstract Objects 2,62
מסורת,מסורות,Tradition,masoret masorot,Abstract Objects 2,62
שנאה,,Hatred,shin'ah,Abstract Objects 2,62
סכנה,סכנות,Danger,sakanah sakanot,Abstract Objects 2,62
הנאה,הנאות,Enjoyment,hana'ah hana'ot,Abstract Objects 2,62
הפתעה,הפתעות,Surprise,haf'ta'ah haf'ta'ot,Abstract Objects 2,62
נפילה,נפילות,fall,n'filah n'filot,Abstract Objects 2,62
אמת,אמיתות,Truth,emet amitot,Abstract Objects 2,62
טובה,טובות,"Favour, Kindness",tovah tovot,Abstract Objects 2,62
תכונה,תכונות,"Trait, Quality",t'khunah t'khunot,Abstract Objects 2,62
תשוקה,תשוקות,Desire,t'shukah t'shukot,Abstract Objects 2,62
זהות,זהויות,Identity,zehut zehuyot,Abstract Objects 2,62
חשיבות,,Importance,khashivut,Abstract Objects 2,62
עדיפות,עדיפויות,Priority,adifut adifuyot,Abstract Objects 2,62
להאמין,,"To Believe, Trust (Hifil)",l'ha'amin,Infinitives 2,63
להשפיע,)על(,To Influence (al) (Hifil),l'hashpi'a (al),Infinitives 2,63
להגדיל,,"To Increase, Expand (Trans.) (Hifil)",l'hag'dil,Infinitives 2,63
לשפר,,To Improve (Something) (Piel),l'shaper,Infinitives 2,63
להמשיך,,"To Continue, Go On (Hifil)",l'ham'shikh,Infinitives 2,63
להגדיר,,To Define (Hifil),l'hag'dir,Infinitives 2,63
לענות,,"To Answer, Reply (Qal)",la'anot,Infinitives 2,63
לכסות,,"To Cover, Conceal (Piel)",l'khasot,Infinitives 2,63
לאפשר,,"To Allow, Enable, Make Possible (Piel)",l'afsher,Infinitives 2,63
לנצח,,To Win; Overcome (Piel),l'natzeakh,Infinitives 2,63
לפתח,,"To Develop (Something), Invent (Piel)",l'fateakh,Infinitives 2,63
לסיים,,"To Finish, Complete (Piel)",l'sayem,Infinitives 2,63
להרגיש,,"To Feel, Sense (Hifil)",l'har'gish,Infinitives 2,63
להבין,,To Understand (Hifil),l'havin,Infinitives 2,63
למות,,To Die (Qal),lamut,Infinitives 2,63
להסכים,,"To Agree, Consent (Hifil)",l'has'kim,Infinitives 2,63
לחכות,)ל-(,"To Wait, Wait For (l-) (Piel)",l'khakot (l-),Infinitives 2,63
לסרב,,"To Refuse, Decline, Reject (Piel)",l'sarev,Infinitives 2,63
להסביר,,"To Explain, Clarify (Hifil)",l'has'bir,Infinitives 2,63
להגיב,,"To React, Retaliate (Hifil)",l'hagiv,Infinitives 2,63
להפסיד,,"To Lose (Game, Money) (Hifil)",l'haf'sid,Infinitives 2,63
לקרוא,)ב-( )ל-(,"To Read (b-), Call (l-) (Qal)",lik'ro (b-) (l-),Infinitives 2,63
להשתמש,)ב-(,To Use (b-) (Hitpael),l'hish'tamesh (b-),Infinitives 2,63
להתאושש,,"To Recover, Regain Strength (Hitpael)",l'hit'oshesh,Infinitives 2,63
לזכור,,To Remember (Qal),liz'kor,Infinitives 2,63
לפגוש,,"To Meet, Encounter (Qal)",lif'gosh,Infinitives 2,63
לטוס,,To Fly (Plane) (Qal),latus,Infinitives 2,63
לעצור,,"To Stop, Halt (Qal)",la'atzor,Infinitives 2,63
לעזוב,,"To Leave, Abandon (Qal)",la'azov,Infinitives 2,63
להישאר,,"To Stay, Remain (Nifal)",l'hisha'er,Infinitives 2,63
לבנות,,"To Build, Construct (Qal)",liv'not,Infinitives 2,63
לשבור,,"To Break, Shatter (Qal)",lish'bor,Infinitives 2,63
לגרום,,"To Cause, Produce (Qal)",lig'rom,Infinitives 2,63
לאהוב,,To Love (Qal),l'ehov,Infinitives 2,63
לשקול,,To Weigh; Consider (Qal),lish'kol,Infinitives 2,63
לחשוב,,To Think (Qal),lakh'shov,Infinitives 2,63
להרגיש,,"To Feel, Sense (Hifil)",l'har'gish,Infinitives 2,63
להחמיץ,,To Miss (Opportunity) (Hifil),l'hakh'mitz,Infinitives 2,63
ראש-ממשלה,ראשי-ממשלה,Prime Minister,rosh mem'shalah rashei mem'shalah,Construct State 2,63
כלי-נשק,כלי-נשק,Weapon,k'li neshek k'lei neshek,Construct State 2,63
שומר-ראש,שומרי-ראש,Bodyguard,shomer rosh shom'rei rosh,Construct State 2,63
פסק-זמן,,Timeout,pesek z'man,Construct State 2,63
נהג-מונית,נהגי-מונית,Taxi Driver,nahag monit nahagi munit,Construct State 2,63
מגדל-שמירה,מגדלי-שמירה,Watch Tower,migdal sh'mirah mig'd'lei sh'mirah,Construct State 2,63
שעון-עצר,שעוני-עצר,Stopwatch,sha'on atzar she'oni atzar,Construct State 2,63
בית-מלאכה,בתי-מלאכה,Workshop,beit m'la'khah batei m'la'khah,Construct State 2,63
אוצר-מילים,,Vocabulary,otzar milim,Construct State 2,63
ארגז-כלים,ארגּזי-כלים,Toolbox,ar'gaz kelim ar'g'rei kelim,Construct State 2,64
תיבת-דואר,תיבות-דואר,Mailbox,teivat do'ar tevot do'ar,Construct State 2,64
משרד ראש-הממשלה,,The PM's Office,mish'rad rosh hamem'shalah,Construct State 2,64
חלון חדר-האורחים,,The Window of the Guestroom,khalon kheder ha'or'khim,Construct State 2,64
חגורת-בטיחות חגורות-בטיחות,,Safety/Seat Belt,khagorat b'tikhut khagurot b'tikhut,Construct State 2,64
תולעת-ספרים,תולעי-ספרים,Bookworm,tola'at s'farim tola'ei s'farim,Construct State 2,64
הפסקת-אוכל,הפסקות-אוכל,Lunch/Food Break,haf'sakat okhel haf'sakot okhel,Construct State 2,64
שטיפת-מוח,,Brainwash,sh'tifat mo'akh,Construct State 2,64
פניית-פרסה,,U-Turn,p'niyat par'sah,Construct State 2,64
מברשת-שיניים מברשות-שיניים,,Toothbrush,miv'reshet shinayim,Construct State 2,64
משחת-שיניים משחות שנים,,Toothpaste,mish'khat shinayim mish'khot shinayim,Construct State 2,64
סכין-גילוח,סביני גילות,(Shaving) Razor,sakin giluakh sakinei giluakh,Construct State 2,64
עוגת יום-הולדת עוגות יום-הולדת,,Birthday Cake,ugat yom-huledet ugot yom-huledet,Construct State 2,64
לו,,If (Haven't/Can't Happen) (Conj),lu,Conditional,64
אילו,,If (Haven't/Can't Happen) (Conj),ilu,Conditional,64
לולא,,If Not (Conj),lule,Conditional,64
אילולא,,If Not (Conj),ilule,Conditional,64
היה יכול,,Could Have (Conditional) (Qal),hayah yakhol,Conditional,64
היה צריך,,Should Have (Conditional) (Adj),hayah tzarikh,Conditional,64
הייתי,,I Was (1.c.s) (Qal),hayiti,Conditional,64
היית,,You Were (2.m.s) (Qal),hayita,Conditional,64
היית,,You Were (2.f.s) (Qal),hayit,Conditional,64
היה,,He Was (3.m.s) (Qal),hayah,Conditional,64
הייתה,,She Was (3.f.s) (Qal),hai'tah,Conditional,64
היינו,,We Were (1.c.p) (Qal),hayinu,Conditional,64
הייתם,,You Were (2.m.p) (Qal),heyitem,Conditional,64
הייתן,,You Were (2.f.p) (Qal),heyiten,Conditional,64
היו,,They Were (3.c.p) (Qal),hayu,Conditional,64
ראש,ראשים,Head,rosh rashim,Medical,64
לב,לבבות,Heart,lev l'vavot,Medical,64
חזה,חזות,"Chest, Breast",khazeh khazot,Medical,64
צוואר,צווארים,Neck,tzavar tzavarim,Medical,64
שיער,שערות,Hair,se'ar s'arot,Medical,64
מרפק,מרפקים,Elbow,mar'pek mar'p'kim,Medical,64
פנים,,Face,panim,Medical,64
עור,עורות,Skin,or orot,Medical,64
גב,גבות,Back,gav gabot,Medical,64
גוף,גופים,Body; Person (Grammar),guf gufim,Medical,64
מוח,מוחות,Brain; Mind,moakh mokhot,Medical,64
פה,פיות,Mouth,peh piyot,Medical,64
אף,אפים,Nose,af apim,Medical,64
שריר,שרירים,Muscle,sh'rir sh'ririm,Medical,64
מטופל,מטופלים,Patient,m'tupal m'tupalim,Medical,64
וירוס,וירוסים,Virus,virus virusim,Medical,64
איבר,איברים,Organ,eivar eivarim,Medical,64
חלום,חלומות,Dream,khalom khalomot,Medical,64
כאב,כאבים,"Pain, Ache",k'ev k'evim,Medical,65
טיפול,טיפולים,Treatment,tipul tipulim,Medical,65
דם,דמים,Blood,dam damim,Medical,65
לחץ,לחצים,Pressure,lakhatz l'khatzim,Medical,65
הריון,הריונות,Pregnancy,herayon her'yonot,Medical,65
סם,סמים,"Drug, Narcotic",sam samim,Medical,65
סרטן,סרטנים,Cancer,sar'tan sar'tanim,Medical,65
ניתוח,ניתוחים,"Surgery, Operation",nituakh nitukhim,Medical,65
יד,ידיים,Hand,yad yadayim,Medical,65
עין,עיניים,Eye,ayin einayim,Medical,65
זרוע,זרועות,Arm,z'roa z'ro'ot,Medical,65
אצבע,אצבעות,Finger,etz'ba etz'ba'ot,Medical,65
אוזן,אוזניים,Ear,ozen oz'nayim,Medical,65
כף-יד,,Palm (And Back of Hand),kaf yad,Medical,65
בטן,בטנים,"Abdomen, Belly",beten b'tanim,Medical,65
לשון,לשונות,"Tongue, Language",lashon l'shonot,Medical,65
שן,שיניים,Tooth,shen shinayim,Medical,65
רגל,רגליים,Leg; Foot,regel rag'layim,Medical,65
עצם,עצמות,Bone,etzem atzamot,Medical,65
כף-רגל,כפות רגליים,Foot,kaf releg kafot rag'layim,Medical,65
ברך,ברכיים,Knee,berekh bir'khayim,Medical,65
כתף,כתפיים,Shoulder,katef k'tafayim,Medical,65
מחלה,מחלות,Disease,makhalah makhalot,Medical,65
גולגולת,גולגלות,"Skull, Cranium",gul'golet gul'galot,Medical,65
תרופה,תרופות,"Medicine, Remedy",t'rufah t'rufot,Medical,65
אחות,אחיות,Nurse,akhot akhayot,Medical,65
שפה,שפתיים,Lip,safah s'fatayim,Medical,65
מרפאה,מרפאות,Clinic,mir'pa'ah mir'pa'ot,Medical,65
רפואה,רפואות,Medicine (Field),r'fu'ah r'fu'ot,Medical,65
בריאות,,Health,b'ri'ut,Medical,65
דיאטה,דיאטות,Diet,di'etah di'etot,Medical,65
לידה,,Birth,leidah,Medical,65
חולה,,Sick (m.s),kholeh,Medical,65
אומר,,I Will Say (1.c.s) (Qal),omar,Future 2,65
תאמר,,You (m.s),to'mar,Future 2,65
תאמרי,,You (f.s),tom'ri,Future 2,65
יאמר,,He/It,yo'mar,Future 2,65
תאמר,,She/It,to'mar,Future 2,65
נאמר,,We,no'mar,Future 2,65
תאמרו,,You (m.p),tom'ru,Future 2,65
תאמרנה,,You (f.p),tomar'nah,Future 2,65
יאמרו,,They (m.p),yom'ru,Future 2,65
תאמרנה,,They (f.p),tomar'nah,Future 2,65
יעבדו,,They Will Work (3.m.p) (Qal),ya'av'du,Future 2,65
תמצא,,"You'll Find, Encounter (3.f.s) (Qal)",tim'tza,Future 2,65
ימכור,,He/It Will Sell (3.m.s) (Qal),yim'kor,Future 2,65
יחזרו,,They Will Return (Intr.) (3.m.p) (Qal),yakh'z'ru,Future 2,65
ידע,,He/It Will Know (3.m.s) Qal),yeda,Future 2,65
ילמדו,,"They Will Learn, Study (3.m.p) (Qal)",yil'm'du,Future 2,66
תשכח,,You Will Forget (2.m.s) (Qal),tish'kakh,Future 2,66
יקרא,)ב-(,He/It Will Read (b-) (3.m.s) (Qal),yik'ra (b-),Future 2,66
יקח,,He/It Will Take (3.m.s) (Qal),yikakh,Future 2,66
אעצור,,"I'll Stop, Halt (Qal)",e'etzor,Future 2,66
ישימו,,"They Will Put, Put On (3.m.p) (Qal)",yasimu,Future 2,66
ירצה,,He/It Will Want (Qal),yir'tzeh,Future 2,66
יציע,,"He/It Will Suggest, Offer (3.m.s) (Hifil)",yatzi'a,Future 2,66
אערבב,,"I'll Mix, Mess Up (Piel)",a'ar'bev,Future 2,66
תרגיש,,You Will Feel (2.m.s) (Hifil),tar'gish,Future 2,66
ימשיך,,He/It Will Continue (3.m.s) (Hifil),yam'shikh,Future 2,66
נחליף,,"We Will Replace, Exchange (Hifil)",nakh'lif,Future 2,66
יתפלל,,He/It Will Pray (3.m.s) Hitpael),yit'palel,Future 2,66
יוכל,,"He/It Will Be Able, Can (3.m.s) (Qal)",yukhal,Future 2,66
ימלא,,He/It Will Fill (3.m.s) (Piel),y'male,Future 2,66
ילמד,,"He/It Will Learn, Study (3.m.s) (Qal)",yil'mad,Future 2,66
תחכה,,He/It Will Await (2.m.s) (Piel),t'khakeh,Future 2,66
ננצח,,We Will Win (1.c.p) (Piel),n'natzakh,Future 2,66
יבקשו,,"They Will Ask, Request (3.m.p) (Piel)",y'vak'shu,Future 2,66
אקווה,,I Will Hope (1.c.s) (Piel),akaveh,Future 2,66
יעזור,,He/It Will Help (3.m.s) (Qal),ya'azor,Future 2,66
יגעו,)ב-(,They Will Touch (b-) (3.m.p) (Qal),yig'u (b-),Future 2,66
תסגור,,She/It Will Close (3.f.s) (Qal),tis'gor,Future 2,66
אפתח,,"I Will Open, Unlock (Qal)",ef'takh,Future 2,66
יספרו,,They Will Tell (Story) (3.m.p) (Piel),y'sap'ru,Future 2,66
ישאל,,He/It Will Ask; Borrow (3.m.s) (Qal),yish'al,Future 2,66
אשבור,,"I Will Break, Shatter (Qal)",esh'bor,Future 2,66
יצליחו,,They Will Succeed (3.m.p) (Qal),yatz'likhu,Future 2,66
אלוהים,,God,elohim,Religion,66
יהודי,יהודים,Jew,y'hudi y'hudim,Religion,66
נוצרי,נוצריים,Christian,notz'ri notz'riyim,Religion,66
מוסלמי,מוסלמים,Muslim,mus'l'mi mus'l'mim,Religion,66
בודהיסטי,בודהיסטים,Buddhist,bud'his'ti bud'his'tim,Religion,66
מלאך,מלאכים,Angel,mal'akh mal'akhim,Religion,66
אל,אלים,God,el elim,Religion,66
אסלאם,,Islam,is'lam,Religion,66
מקדש,מקדשים,"Temple, Sanctuary",mik'dash mik'dashim,Religion,66
משיח,משיחים,Messiah,mashiakh m'shikhim,Religion,66
הר הבית,,Temple Mount,har habayit,Religion,66
מסגד אל-אקצא,,Al-Aqsa Mosque,mis'gad el-aktza,Religion,66
הר ציון,,Mount Zion,har tziyon,Religion,66
הר הזיתים,,Mount of Olives,har hazeitim,Religion,66
הכותל המערבי,,The Western Wall,hakotel hama'aravi,Religion,66
דת,דתות,Religion,dat datot,Religion,66
אמונה,אמונות,"Faith, Belief",emunah emunot,Religion,66
תפילה,תפילות,Prayer,t'filah t'filot,Religion,66
נצרות,,Christianity,natz'rut,Religion,67
נשמה,נשמות,Soul,n'shamah n'shamot,Religion,67
יהדות,,Judaism,yahadut,Religion,67
כיפת הסלע,,Dome of the Rock,kipat hasela,Religion,67
כנסיית הקבר,,Church of the Holy Sepulchre,k'nesiyat hakever,Religion,67
מערת המכפלה,,Cave of the Patriarchs,m'arat hamakh'pelah,Religion,67
דתי,,Religious (m.s),dati,Religion,67
רוחני,,Spiritual (m.s),rukhani,Religion,67
יהודי,,Jewish (m.s),y'hudi,Religion,67
חילוני,,Secular (m.s),khiloni,Religion,67
קדוש,,Holy (m.s),kadosh,Religion,67
סגנון,סגנונות,Style,sig'non sig'nonot,Arts,67
צילום,צילומים,Photography,tzilum tzilumim,Arts,67
צלם,צלמים,Photographer,tzalam tzalamim,Arts,67
ריקוד,ריקודים,Dance,rikud rikudim,Arts,67
רקדן,רקדנים,Dancer,rak'dan rak'danim,Arts,67
קהל,קהלים,"Audience, Crowd",kahal k'halim,Arts,67
אוסף,אוספים,"Collection, Assortment",osef osafim,Arts,67
איור,איורים,Illustration,iyur iyurim,Arts,67
מכחול,מכחולים,Paintbrush,mikh'khol mikh'kholim,Arts,67
ציור,ציורים,Painting,tziyur tziyurim,Arts,67
תיאטרון,תיאטרונים,"Theatre, Theater",te'at'ron te'atronim,Arts,67
סטודיו,סטודיוס,Studio,s'tud'yo s'tud'iyos,Arts,67
פסל,פסלים,Sculpture,pesel p'salim,Arts,67
מפיק,מפיקים,Producer,mefik m'fikim,Arts,67
תסריט,תסריטים,Script,tes'rit tas'ritim,Arts,67
אולפן,אולפנים,Studio,ul'pan ul'panim,Arts,67
פסקול,פסקולים,Soundtrack,pas'kol pas'kolim,Arts,67
אפקט,אפקטים,Effect,efek't efek'tim,Arts,67
סרט,סרטים,Film,seret s'ratim,Arts,67
מצלמה,מצלמות,Camera,matz'lemah matz'lemot,Arts,67
אמנות,אומנויות,Art,omanut omanuyot,Arts,67
דמות,דמויות,"Character, Figure",d'mut d'muyot,Arts,67
ספרות,ספרויות,Literature,sif'rut sif'ruyot,Arts,67
אופנה,אופנות,Fashion,of'nah of'not,Arts,67
שירה,שירות,Poetry,shirah shirot,Arts,67
גלריה,גלריות,Gallery,galer'yah galer'yot,Arts,67
הצגה,הצגות,"Show (Theater), Performance",hatzagah hatzagot,Arts,67
במה,במות,"Stage, Platform",bamah bamot,Arts,67
אל,,No; Not (Particle),al,Arts,67
אל תהיה,,Don't Be (Qal),el tih'yeh,Arts,67
אל תיגע,)ב-(,Don't Touch (b-) (Qal),el ti'ga (b-),Arts,67
אל תאמר,,"Don't Tell, Say (Qal)",el to'mar,Arts,67
אל תעשה,,"Don't Do, Make, Create (Qal)",el ta'aseh,Arts,67
אל תיקח,,Don't Take (Qal),el tikakh,Arts,67
אל תיתן,,"Don't Let, Allow, Give (Qal)",el titen,Arts,67
אל תסגור,,"Don't Close, Shut (Qal)",el tis'gor,Arts,68
אל תפתח,,"Don't Open, Unlock (Qal)",el tif'takh,Arts,68
אל תלך,,Don't Go (Qal),el telekh,Arts,68
אל תעמוד,,Don't Stand (Qal),el ta'amod,Arts,68
אל תשכח,,Don't Forget (Qal),el tish'kakh,Arts,68
אל תשלח,,"Don't Send, Dispatch (Qal)",el tish'lakh,Arts,68
אל תספר,,"Don't Tell (Story), Relate (Piel)",el t'saper,Arts,68
אל תנסה,,"Don't Try, Attempt (Piel)",el t'naseh,Arts,68
אל תשנה,,Don't Change (Something) (Piel),el t'shaneh,Arts,68
אל תדבר,,"Don't Speak, Talk (Piel)",el t'daber,Arts,68
אל תשאל,,Don't Ask; Borrow (Qal),el tish'al,Arts,68
אל תערבב,,"Don't Mix, Mess Up (Piel)",el t'ar'bev,Arts,68
אל תחכה,,Don't Await (Piel),el t'khakeh,Arts,68
אל תקשיב,,Don't Listen; Pay Attention (Hifil),el tak'shiv,Arts,68
אל תרגיש,,"Don't Feel, Sense (Hifil)",el tar'gish,Arts,68
אל תתחיל,,"Don't Start, Begin (Hifil)",el tat'khil,Arts,68
אל תגיע,,"Don't Come, Arrive (Hifil)",el tagi'a,Arts,68
אל תסביר,,"Don't Explain, Clarify (Hifil)",el tas'bir,Arts,68
אל תחליט,,Don't Decide (Hifil),el takh'lit,Arts,68
אל תשתה,,Don't Drink (Qal),el tish'teh,Arts,68
אל תאכל,,Don't Eat (Qal),el tokhal,Arts,68
אל תתעלם,)מ-(,"Don't Ignore, Disregard (mi-) (Hitpael)",el tit'alem (mi-),Arts,68
אל תשתמש,)ב-(,Don't Use (b-) (Hitpael),el tish'tamesh (b-),Arts,68
חיפוש,חיפושים,Search,khipus khipusim,Technology,68
אתר,אתרים,"Site, Website",atar atarim,Technology,68
עמוד-בית,עמודי-בית,Homepage,amud bayit amudei bayit,Technology,68
אינטרנט,,Internet,in'ter'net,Technology,68
דפדפן,דפדפנים,Browser,daf'd'fan daf'd'fanim,Technology,68
נתונים,,Data,n'tunim,Technology,68
באג,באגים,Bug,bag b'gim,Technology,68
מתכנת,מתכנתים,Programmer,m'takh'net m'takh'netim,Technology,68
מחשב נייד,מחשבים ניידים,Laptop makh'shev,nayad makh'shevim nayadim,Technology,68
קובץ,קבצים,File,kovetz k'vatzim,Technology,68
מייל,מיילים,E-Mail,mei'l mei'lim,Technology,68
בלוג,בלוגים,Blog,b'log b'logim,Technology,68
ערוץ,ערוצים,Channel,arutz arutzim,Technology,68
מידע,,Information,meida,Technology,68
טקסט,טקסטים,Text,tek's't tek's'tim,Technology,68
שלט,שלטים,Remote (Controller),shalat shalatim,Technology,68
רובוט,רובוטים,Robot,robot robotim,Technology,68
בול,בולים,Stamp (Postage),bul bulim,Technology,68
סיסמא,סיסמאות,Password,sis'mah sis'ma'ot,Technology,68
מקלדת,מקלדות,Keyboard,mik'ledet mik'ladot,Technology,68
חומרה,,Hardware,khom'rah,Technology,68
תוכנה,,Software,tokh'nah,Technology,68
רשת,רשתות,Network,reshet r'shatot,Technology,68
הורדה,הורדות,Download,horadah hav'rudot,Technology,68
העלאה,העלאות,Upload,ha'ala'ah ha'ala'ot,Technology,68
הודעה,הודעות,Message,hoda'ah hoda'ot,Technology,68
תקשורת,תקשורות,"Communication, Media",tik'shoret tik'shorot,Technology,68
חדשות,,News,khadashot,Technology,69
גלויה,גלויות,Postcard,g'luyah g'luyot,Technology,69
להוריד,,To Download (Hifil),l'horid,Technology,69
מוריד,,"I, You, He, It (m.s - pres.)",morid,Technology,69
מורידה,,"I, You, She, It (f.s - pres.)",moridah,Technology,69
מורידים,,"We, You, They (m.p - pres.)",moridim,Technology,69
מורידות,,"We, You, They (f.p- pres.)",moridot,Technology,69
להעלות,,To Upload (Hifil),l'ha'alot,Technology,69
מעלה,,"I, You, He, It (m.s - pres.)",ma'aleh,Technology,69
מעלה,,"I, You, She, It (f.s - pres.)",ma'alah,Technology,69
מעלים,,"We, You, They (m.p - pres.)",ma'alim,Technology,69
מעלות,,"We, You, They (f.p- pres.)",ma'a lot,Technology,69
לכבות,,"To Turn Off (Light, Machine) (Piel)",l'khabot,Technology,69
מכבה,,"I, You, He, It (m.s - pres.)",m'khabeh,Technology,69
מכבה,,"I, You, She, It (f.s - pres.)",m'khabah,Technology,69
מכבים,,"We, You, They (m.p - pres.)",m'khabim,Technology,69
מכבות,,"We, You, They (f.p- pres.)",m'khabot,Technology,69
ללחוץ,,"To Press, Squeeze (Qal)",lil'khotz,Technology,69
לוחץ,,"I, You, He, It (m.s - pres.)",lokhetz,Technology,69
לוחצת,,"I, You, She, It (f.s - pres.)",lokhetzet,Technology,69
לוחצים,,"We, You, They (m.p - pres.)",lokhatzim,Technology,69
לוחצות,,"We, You, They (f.p- pres.)",lokhatzot,Technology,69
להדליק,,To Turn/Switch On (Hifil),l'had'lik,Technology,69
מדליק,,"I, You, He, It (m.s - pres.)",mad'lik,Technology,69
מדליקה,,"I, You, She, It (f.s - pres.)",mad'likah,Technology,69
מדליקים,,"We, You, They (m.p - pres.)",mad'likim,Technology,69
מדליקות,,"We, You, They (f.p- pres.)",mad'likot,Technology,69
סיפור,,Story,sipur,Verbal Noun,69
למכירה,,For Sale,l'mkhirah,Verbal Noun,69
כתיבה,,Writing,k'tivah,Verbal Noun,69
הקנייה,,Buying,hak'niyah,Verbal Noun,69
קריאה,,Reading,k'ri'ah,Verbal Noun,69
חשיבה,,Thinking,khashivah,Verbal Noun,69
צפייה,,Watching,tz'fiyah,Verbal Noun,69
בישול,,Cooking,b'shul,Verbal Noun,69
אימון,,"Training, Working Out",ha'imul,Verbal Noun,69
לימוד,,"Studying, Learning",limud,Verbal Noun,69
למידה,,Learning,l'midah,Verbal Noun,69
הליכה,,"Walking, Going",halikhah,Verbal Noun,69
ריצה,,Running,ritzah,Verbal Noun,69
הזמנה,,"Order, Invitation",haz'manah,Verbal Noun,69
דרישה,,Demand,d'rishah,Verbal Noun,69
שינה,,Sleep,Shinah,Verbal Noun,69
מכירה,,Selling,m'khirah,Verbal Noun,69
פתיחה,,Opening,p'tikhah,Verbal Noun,69
שמיעה,,Hearing,sh'mi'ah,Verbal Noun,69
התנצלות,,Apology,hit'natz'lut,Verbal Noun,69
מחקר,מחקרים,Research,mekh'kar mekh'karim,Science,70
מדע,מדעים,Science,mada mada'im,Science,70
פרויקט,פרויקטים,Project,p'royek't p'royektim,Science,70
גודל,גדלים,Size,godel g'dalim,Science,70
מרחק,מרחקים,Distance,mer'khak mer'khakim,Science,70
משקל,משקלים,Weight; Word Pattern (Grammar),mish'kal mish'kalim,Science,70
ניסוי,ניסויים,"Experiment, Trail",nisuy nisuyim,Science,70
מאמר,מאמרים,Article,ma'amar ma'amarim,Science,70
עיקרון,עקרונות,Principle,ikaron ek'ronot,Science,70
מדחום,מדחומים,Thermometer,mad'khom mad'khomim,Science,70
מחצב,מחצבים,Mineral,makh'tzav makh'tzabim,Science,70
מחזור,מחזורים,Cycle,makh'zor makh'zorim,Science,70
מדען,מדענים,Scientist,mada'an mad'anim,Science,70
תא,תאים,Cell,ta ta'im,Science,70
כוח-משיכה,,Gravity,koakh m'shikhah,Science,70
טון,טונות,"Ton, Tonne",ton tunot,Science,70
קילוגרם,קילוגרמים,Kilogram,kilog'ram kilog'ramim,Science,70
גרם,גרמים,Gram,g'ram g'ramim,Science,70
אלכוהול,,Alcohol,al'kohol,Science,70
טכנולוגיה,טכנולוגיות,Technology,tekh'nolog'yah tek'nolog'yot,Science,70
שיטה,שיטות,"System, Method",shitah shitot,Science,70
תזה,תזות,Thesis,tezah tezot,Science,70
אנרגיה,אנרגיות,Energy,ener'g'yah ener'g'yot,Science,70
