hebrew,english,transliteration,skill,english_guidebook,english_pdf,skill_url,transliteration_key,lexeme_id,related_lexemes
ישבור,,,Future 2,,,Future-2,yshbvr,99f207370c5d244ea5ad2b8a784f6c12,
נלמד,,,Future 2,,,Future-2,nlmd,9a0bcda24d9b81e6ff6e12da7a5c049a,
המכשפה,,,Legends,,,Legends,hmkshph,603ee7b412efd475303b7a68025a2326,
נסיך,Prince,nasikh n'sikhim,Legends,,Prince,Legends,nsyk,35631ffd860e17c552b76d9c95896666,
לחומה,,,Legends,,,Legends,lkhvmh,b93b4d1aa1a40b0e3672e1586ff6acdd,
הרוחב,,,Geometry,,,Geometry,hrvkhb,4a6db3bd71f9402d71bdeb0fec651a88,
נדירה,,,Adjectives 3,,,Adjectives-3,ndyrh,1cbe2926792168afe099c9f935918640,
נפלאים,,,Adjectives 3,,,Adjectives-3,nplym,bad7bea63682ea65d2889d22f640defe,
העתיק,,,Adjectives 3,,,Adjectives-3,h`tyq,33f88464a92135b2f625fda3931b9ffd,
סופית,,,Adjectives 3,,,Adjectives-3,svpyt,758d4ca2175ff3631f77240604611493,
נפלאה,,,Adjectives 3,,,Adjectives-3,nplh,0c39031fabb1f679bdc0711d1c0c4637,
עתיק,Ancient,atik,Adjectives 3,,Ancient,Adjectives-3,`tyq,e579af8576acaa4ec6fd7d1c5cb97ad4,
חד,Sharp,khad,Adjectives 3,,Sharp,Adjectives-3,khd,997cf16588c724006e2e55bc0c91aba5,
נדיר,rare (sg. masc.),nadir,Adjectives 3,rare (sg. masc.),Rare,Adjectives-3,ndyr,d5264d2319b14ab2cd969b00b18c32f3,
העליונה,,,Adjectives 3,,,Adjectives-3,h`lyvnh,6c0b67948955107f062f637203662a37,
שונֶה,Different,shoneh,Adjectives 3,,Different,Adjectives-3,shvneh,1bad9e8c0c5018e4884930bd654471ec,
שונים,,,Adjectives 3,,,Adjectives-3,shvnym,58f9a9e9a7b47d3bb2d72fa8785abece,
פופולרית,,,Adjectives 3,,,Adjectives-3,pvpvlryt,037c87d351df513c9251aa9386deb9d6,
העליון,,,Adjectives 3,,,Adjectives-3,h`lyvn,9acf060224795805ae983435820ae44c,
ילדתו,,,Possessives 2,,,Possessives-2,yldtv,b3e80be885f88d8de9345e4babed5bf9,
מסעדותיה,,,Possessives 2,,,Possessives-2,ms`dvtyh,e5e7bd3365643cf5db0a17c6bafbbb19,
סוסנו,,,Possessives 2,,,Possessives-2,svsnv,bb4dac1e5e625b8107a079927d57cace,
סוסךְ,,,Possessives 2,,,Possessives-2,svsk@,1d5c242f9214da523f0eb3bb498357ce,
שמלתךְ,,,Possessives 2,,,Possessives-2,shmltk@,f1f3c65a9e191072ac1ef1c8299bfd70,
אביךָ,,,Possessives 2,,,Possessives-2,byka,52412dc49514aaa10a3f0d76f4e945c8,
מסעדתי,,,Possessives 2,,,Possessives-2,ms`dty,4da9c064b878bc057736500485fa43c7,
מסעדתו,,,Possessives 2,,,Possessives-2,ms`dtv,41a3fec615837a59741c6a8e4df56b0f,
כלבם,,,Possessives 2,,,Possessives-2,klbm,40cffbaed6b85a47d903524c4f55f028,
ילדתכן,,,Possessives 2,,,Possessives-2,yldtkn,78792cac5d8853ab00491476adb40d20,
מסעדותיכם,,,Possessives 2,,,Possessives-2,ms`dvtykm,61bed9cff26bb7c2680271884aa29a8a,
ילדינו,,,Possessives 2,,,Possessives-2,yldynv,0ef0874f84548dc2a4a83ed7d0333c25,
שמלתה,her dress,,Possessives 2,her dress,,Possessives-2,shmlth,eec563f08ce810e9a7576322dc82f8fd,
המוזיקה,,,Music,,,Music,hmvzyqh,e48b5960f22fb309b60195c7b0d2486d,
לקונצרט,,,Music,,,Music,lqvntsrt,6f2cca02b19fc0fc86796e26d3c0fbea,
אקורדים,Chord,akor'd akor'dim,Music,,Chord,Music,qvrdym,f4b070c479c3fdfe037516017eff8428,
המלחינה,,,Music,,,Music,hmlkhynh,bc6b78950ffc53aff0f6756bbc64e734,
מוזיקה,Music,muzikah,Music,,Music,Music,mvzyqh,0799e50c71a4ba36b46aee414b17b3aa,
לזמר,,,Music,,,Music,lzmr,ea084c505c489555b684f7df38ceb67b,
מלחינה,,,Music,,,Music,mlkhynh,f4f70c112629f83f28c0c7e032886a54,
ז'אנר,Genre,janer janerim,Music,,Genre,Music,z'nr,af5e8eafc74041c4e568b383866631dc,
קונצרט,Concert,kon'tzer't kon'tzer'tim,Music,,Concert,Music,qvntsrt,2da7fcda80ebbb05bba461a7b3ea8a7d,
הז'אנר,the genre,,Music,the genre,,Music,hz'nr,83e56fce369b3d1c462d61a2c0507d7b,
הזמרים,,,Music,,,Music,hzmrym,6203b963e649feb6324a413b3ce6301e,
המלחין,,,Music,,,Music,hmlkhyn,c780cab51b7cbddb9c7e9752c1e9f97d,
אינךְ,You Are Not (m.s),ein'kha,Formal,,You Are Not (m.s),Formal,ynk@,b8e07681a4f8189b77dac9d4db1ef89b,
אינני,I Am Not (Alt),eineni,Formal,,I Am Not (Alt),Formal,ynny,5f79927bae5b30ddf2a30ded5f819248,
איני,I Am Not,eini,Formal,,I Am Not,Formal,yny,ed7ade5671b8f36c385e4e70a912978d,
השומרים,,,Occupations,,,Occupations,hshvmrym,7ac1e2b7e070247383d6a312a6646e33,
תלמידות,,,Occupations,,,Occupations,tlmydvt,1d5e6ea93b5d703fd3c21eff21ec01b0,
תלמידים,"Student, Pupil",talmid tal'midim,Occupations,,"Student, Pupil",Occupations,tlmydym,e5814c570b410b33630119f9bc555b4b,
הקברניט,,,Occupations,,,Occupations,hqbrnyt,21c2fb1c210d06f76f4598f14802e3b1,
המזכירה,,,Occupations,,,Occupations,hmzkyrh,d7173c09f439486b88f92ad6c9da66f7,
שופט,"Judge, Referee",shofet shof'tim,Occupations,,"Judge, Referee",Occupations,shvpt,ce2409b075f114822a7ca5307ab03c8b,
למלצר,,,Occupations,,,Occupations,lmltsr,d290840195c47a5212c09a03c2177f40,
עוגת יום הולדת,,,Construct State 2,,,Contruct-State-2,`vgt yvm hvldt,d13e37ec70f9e82395389321db848e5c,
שומרי ראש,,,Construct State 2,,,Contruct-State-2,shvmry rsh,7759d0d402aaecfd82806c43a1ff5b21,
כלִי הנשק,,,Construct State 2,,,Contruct-State-2,kliy hnshq,114d0f88c42499aea90e1178d71b6a52,
חלונות חדר האורחים,,,Construct State 2,,,Contruct-State-2,khlvnvt khdr hvrkhym,aa813acb8a48e192e0614ca7880d6914,
תולעת ספרים,,,Construct State 2,,,Contruct-State-2,tvl`t sprym,7c1c2d98d0fe88e288f8a381ad510358,
בית המלאכה,,,Construct State 2,,,Contruct-State-2,byt hmlkh,1fcb921ca40ff4430f847c5e7dd657ef,
בתי מלאכה,,,Construct State 2,,,Contruct-State-2,bty mlkh,1938e500cd0ed79bbb8e0ff87dc31893,
כלֵי נשק,,,Construct State 2,,,Contruct-State-2,kley nshq,66373b7f62e8676c6ed0156aa9cda2f9,
שומרי הראש,,,Construct State 2,,,Contruct-State-2,shvmry hrsh,b6e9f022b3c8f5dac79300798b2d3d5e,
שטיפת מוח,,,Construct State 2,,,Contruct-State-2,shtypt mvkh,bd7e4b95cbe6c502687fd6e12203d17f,
פסקי זמן,,,Construct State 2,,,Contruct-State-2,psqy zmn,05be011732ba594defbb98cb7432e078,
חלון חדר אורחים,,,Construct State 2,,,Contruct-State-2,khlvn khdr vrkhym,b433546d19c5ecafe0f345691b0ad72e,
יוסי,,,Common Phrases,,,Common-Phrases,yvsy,51eea5ceb7f552c70bdad66c8c781c8a,
מה שלומךְ,,,Common Phrases,,,Common-Phrases,mh shlvmk@,0766da697c83a0d37c6da5bdc6ede3c2,
בעיקר,"Mostly, Mainly",b'ikar,Adverbs,,"Mostly, Mainly",Adverbs,b`yqr,21c0c677e79b773458c6d5bc93a09aaf,
הפעם,,,Adverbs,,,Adverbs,hp`m,596661d0ad92255ab24c48cc6e8ff230,
בקלות,Easily,b'kalut,Adverbs,,Easily,Adverbs,bqlvt,0ae17bc0de5d492a3cd9c42c8294a676,
פעם,Never,af pa'am,Adverbs,,Never,Adverbs,p`m,c6863f7f24d94608502233e994db5ea9,
לפחות,At Least,l'fakhot,Adverbs,,At Least,Adverbs,lpkhvt,915dcbf240d5b7be35390aeef81ffd3a,
לאחרונה,"Lately, Recently",la'akharonah,Adverbs,,"Lately, Recently",Adverbs,lkhrvnh,a86930d245b9e5ac1d923f7aa20eb2cb,
במשך,,,Adverbs,,,Adverbs,bmshk,38bcffdf2c95d1702d656e9eca7b677a,
לבד,Alone,l'vad,Adverbs,,Alone,Adverbs,lbd,b4fc5eb8f253dd1cd808817a41ebbfe5,
אחרת,"Differently, Otherwise",akheret,Adverbs,,"Differently, Otherwise",Adverbs,khrt,20cbdf777aac466cc99f3669eebcb47a,
גשום,Rainy (m.s),gashum,Weather,,Rainy (m.s),Weather,gshvm,de937ee09da6110187475e2690aef35f,
הטורנדו,,,Weather,,,Weather,htvrndv,1fcc27301f8d29f611b5dbe6c82c6d27,
יורד,descending / descends / falls / goes down / it is raining / rain,,Weather,descending / descends / falls / goes down / it is raining / rain,,Weather,yvrd,a0b142997bbf7c62235a2c8e8015eea5,
זורח,,,Weather,,,Weather,zvrkh,4eafd9382762ba8133396edf03231afb,
מעונן,cloudy,m'unan,Weather,cloudy,Cloudy (m.s),Weather,m`vnn,8e6555414a03e6eefafbdc8e37e1d503,
וגשום,,,Weather,,,Weather,vgshvm,ce3cdfd9facb2a4cf4133b9d3a734b80,
הטמפרטורה,the temperature / the temperature is,,Weather,the temperature / the temperature is,,Weather,htmprtvrh,94fb33957e4b2c9ae5d27f3a8d2164f8,
זורחת,,,Weather,,,Weather,zvrkht,a4b19f3b58a62aaf1f565d52ad5c5082,
גל החום,,,Weather,,,Weather,gl hkhvm,6ad71d38316b768ff8ab532cae466dd3,
יורדת,,,Weather,,,Weather,yvrdt,ad100a089b58e71f8d265d81559b4dcf,
טורנדו,Tornado,tor'nado,Weather,,Tornado,Weather,tvrndv,a122862a945c9f961c1ad3c9053aa0eb,
הערפל,,,Weather,,,Weather,h`rpl,3b0f4963666a307a199f96ba016d6eeb,
בחדר האוכל,,,Construct State 1,,,Construct-state-1,bkhdr hvkl,ce3109e5025563c9e3e4bbd1711452bb,
ארוחות הצהריים,,,Construct State 1,,,Construct-state-1,rvkhvt htshryym,92238774b16500284575143b44ecd46c,
בקבוקי המים,,,Construct State 1,,,Construct-state-1,bqbvqy hmym,8c49dc940a980a71a7c6a7f9d6a7e7e4,
ינואר,January,yanu'ar,Dates and Time,,January,Dates-and-Time,ynvr,d996d6f5e242d70643549b2bb0fe7158,
יום שני,,,Dates and Time,,,Dates-and-Time,yvm shny,0ae9bc6fa5f53ba60840bfd679470d7e,
העשור,,,Dates and Time,,,Dates-and-Time,h`shvr,c13b2efff44fc3d15d1099a185d6b23e,
באוגוסט,,,Dates and Time,,,Dates-and-Time,bvgvst,e5e68fff439fcc44ce71042467df27ac,
אוגוסט,August,ogust,Dates and Time,,August,Dates-and-Time,vgvst,e57acac9017a02224e377f2253e3f670,
התפוזים,,,Dates and Time,,,Dates-and-Time,htpvzym,d5e7a636d4bb61d8d2e93df2beb56af6,
תאריך,Date,ta'arikh ta'arikhim,Dates and Time,,Date,Dates-and-Time,tryk,90dce7121da4e51da4eeb6bf25372f41,
הגיל,,,Dates and Time,,,Dates-and-Time,hgyl,2ca7a952c74d253370ebcf8351bbf0fc,
כיום,Nowadays,kayom,Dates and Time,,Nowadays,Dates-and-Time,kyvm,752f81b53173b39b58fdba4226cf024d,
עשור,Decade,asor asorim,Dates and Time,,Decade,Dates-and-Time,`shvr,eb73b736f60c3a614f79ce895ddb5bd7,
גיל,Age,gil gilim,Dates and Time,,Age,Dates-and-Time,gyl,9640821d18c5d77e1cfcf9f5403e35e0,
לעצמנו,,,Pronouns: Reflexive,,,Pronouns-reflexive,l`tsmnv,11806142759ff0d8b2b961d188b6d5ad,
בעצמךְ,,,Pronouns: Reflexive,,,Pronouns-reflexive,b`tsmk@,c32be40ba8ec3b8da937d6dc3df41e09,
לפי דעתם,,,Discussions and decisions,,,Discussions-and-decisions,lpy d`tm,750f3749045550622cf562e8b38c6916,
לטעות,,,Discussions and decisions,,,Discussions-and-decisions,lt`vt,f912c376999ba92ba5861e9cd1636cf9,
לשומר,,,Occupations,,,Occupations,lshvmr,b60ff1eedeb678a3b96424154f81989b,
המלצרית,,,Occupations,,,Occupations,hmltsryt,6f9d8f077e7f7d56a04e36165f0909e2,
חיילים,Soldier,khayal khayalim,Occupations,,Soldier,Occupations,khyylym,f48118baa59800c15e1f8aa500b3b741,
המלצר,,,Occupations,,,Occupations,hmltsr,12a982f3faaaa967c244eddb27e52f91,
חייל,Soldier,khayal khayalim,Occupations,,Soldier,Occupations,khyyl,854f5e13cbd874b95992c9fc4b2f1b97,
לקברניט,,,Occupations,,,Occupations,lqbrnyt,5cdb1f778c701290fe6f1fcc64d3707d,
הדוגמנית,,,Occupations,,,Occupations,hdvgmnyt,202b0e835f208aa5b646ab0f37e96bac,
שופטת,,,Occupations,,,Occupations,shvptt,c534233d30543be0c0aa72060f3083e3,
מזכירה,,,Occupations,,,Occupations,mzkyrh,baf715aa4fad066434778daba180bbc8,
דוגמן,Model,dug'man dug'manim,Occupations,,Model,Occupations,dvgmn,4a0e3a10a68d452118f56ae6bf2c7f18,
דוגמנים,Model,dug'man dug'manim,Occupations,,Model,Occupations,dvgmnym,e1fa9fe3cb08ed0b1ffd2de1a39b669c,
השומר,,,Occupations,,,Occupations,hshvmr,1d681d0c1a3640bc3871d5363a8968ef,
התלמיד,,,Occupations,,,Occupations,htlmyd,497272545d2b8a88ea757ca68707f037,
מלצר,Waiter,mel'tzar mel'tzarim,Occupations,,Waiter,Occupations,mltsr,1d7af0eccfb53cece2f3ce24ec16f01b,
הולנדית,Dutch,holan'dit,Languages,,Dutch,Languages,hvlndyt,b616ceb126b02e77d7b30e794c674a48,
נקודה,"Period, Dot",n'kudah n'kudot,Languages,,"Period, Dot",Languages,nqvdh,22ccd83e9e35d86ebb8698cd4eb71758,
שפת האם,,,Languages,,,Languages,shpt hm,b33586d2a895158ed6bca2093f8e5242,
ספרדית,Spanish,s'fardit,Languages,,Spanish,Languages,sprdyt,e75e5259a149cd595643379371881e66,
שם תואר,,,Languages,,,Languages,shm tvr,65efea6f8d53d81e4837ebb7bca77d9a,
שם עצם,,,Languages,,,Languages,shm `tsm,13efc269323b7d093361a248da31acca,
שוודית,Swedish,sh'vedit,Languages,,Swedish,Languages,shvvdyt,bc422c55b2a59ada65b171ba68a0f699,
שבדית,,,Languages,,,Languages,shbdyt,864c70b22f872fc490edc670a9398e97,
איטלקית,Italian,ital'kit,Languages,,Italian,Languages,ytlqyt,696281b151c718b62f0e04f788314af2,
שם התואר,,,Languages,,,Languages,shm htvr,facb88ae5ac3aea1da979a09eee8ae5b,
נקודות,"Period, Dot",n'kudah n'kudot,Languages,,"Period, Dot",Languages,nqvdvt,5ae7aa1ca042b7751b2b2d1988ff0363,
שם העצם,,,Languages,,,Languages,shm h`tsm,49c31b9b0400195cf1e93be31691f183,
יקרא,He/It Will Read (b-) (3.m.s) (Qal),yik'ra (b-),Future 2,,He/It Will Read (b-) (3.m.s) (Qal),Future-2,yqr,72a6dc8dce373c05d3f73a70bb1400f5,
יעבדו,They Will Work (3.m.p) (Qal),ya'av'du,Future 2,,They Will Work (3.m.p) (Qal),Future-2,y`bdv,ede6be6d1f810e47f51f04e2f59f6343,
תחזור,,,Future 2,,,Future-2,tkhzvr,8da2a3acf5df7c2e3c389a9a49f345a6,
יצליחו,They Will Succeed (3.m.p) (Qal),yatz'likhu,Future 2,,They Will Succeed (3.m.p) (Qal),Future-2,ytslykhv,1e90c14d8d9f6e9bf074bdd3d92d9a57,
ילמדו,"They Will Learn, Study (3.m.p) (Qal)",yil'm'du,Future 2,,"They Will Learn, Study (3.m.p) (Qal)",Future-2,ylmdv,f86669ce321554c4f094152d56c2e8da,
נתפלל,,,Future 2,,,Future-2,ntpll,ef75cdcdf16d76e5ad986782cb8c1985,
אצליח,,,Future 2,,,Future-2,tslykh,e021fe720fd64acdacca876556d65eaa,
נשבור,,,Future 2,,,Future-2,nshbvr,88b092a8ded9a889305c236047ce394f,
אשבור,"I Will Break, Shatter (Qal)",esh'bor,Future 2,,"I Will Break, Shatter (Qal)",Future-2,shbvr,f25c9e6c7f2ecc6cc68834230d62e199,
תעבוד,,,Future 2,,,Future-2,t`bvd,1f23b2f59dcc31796f794a92a7792952,
הנשיאה,,,Politics,,,Politics,hnshyh,965deb6dbc9d4c4ad650641af2201899,
המשפטים,,,Politics,,,Politics,hmshptym,8336683e77b4dc9a4052db9974417506,
שרביט,Wand; Sceptre,sharvit shar'vitim,Legends,,Wand; Sceptre,Legends,shrbyt,e7983b5d7d1d06fa40b6becb7dbb71cd,
שיקוי,Potion,shikuy shikuyim,Legends,,Potion,Legends,shyqvy,06e0efafaed25f20882f5bf3f971cfe6,
הנסיך,,,Legends,,,Legends,hnsyk,06f6870ca29ee919ca11e8cd2422c7d0,
השרביט,,,Legends,,,Legends,hshrbyt,6618bc31c3e2c3452e228641c0439968,
משכורת,"Salary, Wages",mas'koret mas'korot,Business,,"Salary, Wages",Business,mshkvrt,9ecdcf2c3a7b2cb927f62b8b93f0baee,
הפרסומת,,,Business,,,Business,hprsvmt,73cb20fb12da2be327701eac160680f7,
סיכונים,"Risk, Danger",sikun sikunim,Business,,"Risk, Danger",Business,sykvnym,d2665764d945a13f1b65c0d468bc32cc,
במטבעות,,,Business,,,Business,bmtb`vt,3449bf144f36906352457d53134614ef,
בכרטיס אשראי,,,Business,,,Business,bkrtys shry,021301092c8d76fe31c8e9f0fc337d76,
אתם,do you want / you / you are,atem,Basics,do you want / you / you are,You (2.m.p),Basics,tm,1b2d9039408dbfe047dc982853ae34e1,
נשים,Woman; Wife,ishah nashim,Basics,,Woman; Wife,Basics,nshym,2762b6874f730f6d7485abe3d320e88c,
והם,and they are(masculine) / and they(masculine),,Basics,and they are(masculine) / and they(masculine),,Basics,vhm,4af058903f1621c5e1854893eb3d0bd6,
ילדים,boys / children / kids,yeled y'ladim,Basics,boys / children / kids,Boy,Basics,yldym,641a91c52f38b5c10011b3760e89f84a,
אתן,You (2.f.p),aten,Basics,,You (2.f.p),Basics,tn,b26987a312684e240e17140979fdf6ed,c003a2f3715750ea45281adf727a226f
הילדים,the boys / the children / the kids,,Basics,the boys / the children / the kids,,Basics,hyldym,aa827fe8fc2b1e43608c2f1b69f1240f,
וילדים,,,Basics,,,Basics,vyldym,aeba083f9e433b0fe9a62709322de7cc,
הם,are / they / they are,hem,Basics,are / they / they are,They (3.m.p),Basics,hm,e89b6a572756d24b9dbc2d726e1a5fa1,
הן,are / they / they are,hen,Basics,are / they / they are,They (3.f.p),Basics,hn,4727b8bc52b871f907d13a848c80b59e,
אנחנו,we / we are,anakhnu,Basics,we / we are,We (c.p),Basics,nkhnv,e4d0dbf02f64a7875801fae36be7f7fe,
חגים,Holiday,khag khagim,Jewish Festivals,,Holiday,Jewish-Festivals,khgym,1e62a2c35351122c8bc8d6df12721444,
החנוכייה,,,Jewish Festivals,,,Jewish-Festivals,hkhnvkyyh,f74a11cde9d18aa90f96655c3cdf7cf0,
משלוח מנות,,,Jewish Festivals,,,Jewish-Festivals,mshlvkh mnvt,fc6b92da24e3959e6d9b44d1c0b077ef,
שבועות,Week,shavu'a shavu'ot,Jewish Festivals,,Week,Jewish-Festivals,shbv`vt,291f9d2a5c1ce9f5c70c403db20e298c,
חנוכייה,Chanukiya,khanukiyah,Jewish Festivals,,Chanukiya,Jewish-Festivals,khnvkyyh,c6429f97b92175c5161b146b397ab8f6,
סופגניות,,,Jewish Festivals,,,Jewish-Festivals,svpgnyvt,9eb7e01a9662250170378c79eac76c0d,
מתן תורה,,,Jewish Festivals,,,Jewish-Festivals,mtn tvrh,5a8867a87460ca5a8c2d916cef55581c,
לחנוכייה,,,Jewish Festivals,,,Jewish-Festivals,lkhnvkyyh,eddfc849c6c647528096cea5f8795033,
בחנוכה,,,Jewish Festivals,,,Jewish-Festivals,bkhnvkh,4e7f63c338e66e63b25792387a2fe31d,
חנוכה,Chanukah,khanukhah,Jewish Festivals,,Chanukah,Jewish-Festivals,khnvkh,dfc5a2735ce7a2409a87038a41812b20,
הסופגניות,,,Jewish Festivals,,,Jewish-Festivals,hsvpgnyvt,88f67a971c7dad3a402a501c9aba684b,
"ט""ו בשבט",,,Jewish Festivals,,,Jewish-Festivals,"t""v bshbt",b5f8b7783fcd98b2cfc86080baf1d9f4,
חג,Holiday,khag khagim,Jewish Festivals,,Holiday,Jewish-Festivals,khg,e44687131ea9be80ac1402603c92c1e0,
בשבועות,,,Jewish Festivals,,,Jewish-Festivals,bshbv`vt,42774e736f2be56ce14d2ed0718e1690,
אוזני המן,,,Jewish Festivals,,,Jewish-Festivals,vzny hmn,c35529bdab82b097c9066afe8f743d9d,
אַל תעמדו,,,Negative Imperatives,,,Negative-Imperatives,al t`mdv,ca95cc8962cdcb8ad1ebf3248ef926c9,
אַל תעשו,,,Negative Imperatives,,,Negative-Imperatives,al t`shv,72bc648b0f48604cd2f4deea4bb749bf,
אַל תשלחו,,,Negative Imperatives,,,Negative-Imperatives,al tshlkhv,a82e94c46b2e8dcb163e35948d2b5e5e,
אַל תקשיבו,,,Negative Imperatives,,,Negative-Imperatives,al tqshybv,09ccdee3a8e91ca7f5c666bf3c47e6e3,
אַל תשלח,,,Negative Imperatives,,,Negative-Imperatives,al tshlkh,5e242bc8b851d5fa77936f765caefea4,
אַל תחכי,,,Negative Imperatives,,,Negative-Imperatives,al tkhky,b0178e7dff355d01ac897f3fd368b0e0,
אַל תחכו,,,Negative Imperatives,,,Negative-Imperatives,al tkhkv,f21f1e72903b0c5f7f205a73839d816f,
אַל תיתנו,,,Negative Imperatives,,,Negative-Imperatives,al tytnv,d774e34665e05b1dccead48b54412f35,
אַל תערבב,,,Negative Imperatives,,,Negative-Imperatives,al t`rbb,711bbe9f630ffdd59f28cabeb284fc40,
אַל תלך,,,Negative Imperatives,,,Negative-Imperatives,al tlk,98a8bd938009a871a2c9c1dbc9ceca6f,
אַל תערבבי,,,Negative Imperatives,,,Negative-Imperatives,al t`rbby,9f3078d5cd8e2484e16067e57f93a1c0,
אַל תעשה,,,Negative Imperatives,,,Negative-Imperatives,al t`shh,f76bb23dca9d6d6571b73d65b2082929,
אַל תיתן,,,Negative Imperatives,,,Negative-Imperatives,al tytn,b535f2d25cc19300cb736e4f92b02f6a,
אַל תחכה,,,Negative Imperatives,,,Negative-Imperatives,al tkhkh,272a0418dd970abeb76b69f9897f1d4b,
מלאכים,Angel,mal'akh mal'akhim,Religion,,Angel,Religion,mlkym,2e24f63a10e5c3739d4ee28034be8117,
הכותל המערבי,,,Religion,,,Religion,hkvtl hm`rby,ff28092cf60b45f8849788704cd1f3b1,
מלאך,Angel,mal'akh mal'akhim,Religion,,Angel,Religion,mlk,2fded62887c8467526a2a0fe25348ad1,
הדתות,,,Religion,,,Religion,hdtvt,5282c37c7b26bdc5a58a2ef5ee4905c1,
מוסלמים,Muslim,mus'l'mi mus'l'mim,Religion,,Muslim,Religion,mvslmym,7275e2ca4b2605b454846e1afd304665,
אלים,gods,el elim,Religion,gods,God,Religion,lym,5d1389d17d6b4d998a9d0e3d68309a42,
כנסיית הקבר,,,Religion,,,Religion,knsyyt hqbr,db64381c2a861c8bc9aa6dbfb3a2d13a,
לכנסיית הקבר,,,Religion,,,Religion,lknsyyt hqbr,133fd2fdd383608eb605a8c84876bbdc,
בנצרות,,,Religion,,,Religion,bntsrvt,ee33ca95a0dba916612a164b7fb44bc6,
דתות,Religion,dat datot,Religion,,Religion,Religion,dtvt,31d684c7e83a6c30de53321e7497ba61,
רוחני,Spiritual (m.s),rukhani,Religion,,Spiritual (m.s),Religion,rvkhny,5b4fec61f10d7d99430de123b0c1a404,
והנצרות,,,Religion,,,Religion,vhntsrvt,9d7cd626e1d3cde3705725e19e86dfdb,
אליפסה,ellipse,elip'sah elip'sot,Geometry,ellipse,Ellipse,Geometry,lypsh,1ffc557465dc4c0299729c873c6e477c,
לחופשה,,,Travel,,,Travel,lkhvpshh,4c8648156caf747c0aa02789c72ba0da,
הביקור,,,Travel,,,Travel,hbyqvr,7c31086bbfa9bacc1d72d57132946bbc,
אנגליה,England,an'g'liyah,Travel,,England,Travel,nglyh,e675dae87e23befd2ec9e32abb4ebd10,3186620c9cf2a55641d7afe2611b586d
תיק הגב,,,Travel,,,Travel,tyq hgb,73bce020a3e6fbc6b0d5939322fba145,
החופשה,the holiday / the vacation,,Travel,the holiday / the vacation,,Travel,hkhvpshh,6a5d662e896e3def24c76b6bad04c204,
טיול,Trip,tiyul tiyulim,Travel,,Trip,Travel,tyvl,1e647618fa5b9f1c99c6f37e36cde9b2,
מכונית,"Car, Automobile",m'khonit m'khoniyot,Travel,,"Car, Automobile",Travel,mkvnyt,7126f3063bbbaf7457d2caf697e8a6be,
הרכבת,,,Travel,,,Travel,hrkbt,a0d59d3ed502a294d4df6f3671866ec6,
עצמי,Myself,atz'mi,Pronouns: Reflexive,,Myself,Pronouns-reflexive,`tsmy,a824d12a648d30e15867711fa5ddc26c,
עצמן,Themselves (f.p),atz'man,Pronouns: Reflexive,,Themselves (f.p),Pronouns-reflexive,`tsmn,2539ea3cd2bdce100eb6550d896cbfe9,
בעצמו,,,Pronouns: Reflexive,,,Pronouns-reflexive,b`tsmv,42302c3e24767ebcf8845c97d8f7b904,
למוצר,,,Business,,,Business,lmvtsr,5cbc06f70cc263d6559ed0551c0c27f5,
מטבע,"Currency, Coin",mat'bea mat'b'ot,Business,,"Currency, Coin",Business,mtb`,4ebdabe51305da48079dbcc371f51fce,
מהמשכורת,,,Business,,,Business,mhmshkvrt,cbc17f4c985fd38a1c0bd6a85949b1ba,
המשכורת,,,Business,,,Business,hmshkvrt,530dada5b9404a25ba6c4116104db566,
שקלים,Shekel,shekel sh'kalim,Business,,Shekel,Business,shqlym,1dbc530850c9f2ad04a228fae59e8be4,
סיכון,"Risk, Danger",sikun sikunim,Business,,"Risk, Danger",Business,sykvn,e696cfff13392af50ca0a73a1954554f,
שקל,Shekel,shekel sh'kalim,Business,,Shekel,Business,shql,ac688b3bfecc157e9c324bbf6934e978,
מוצר,Product,mutzar mutzarim,Business,,Product,Business,mvtsr,af672cc7d84c678a64d6b18fdb282d72,
סוכן,Agent,sokhen sokh'nim,Business,,Agent,Business,svkn,cbe4b0966da19ff8444db20c45d03ee7,
הפרסומות,,,Business,,,Business,hprsvmvt,1d4005944b8d34f1879a1d9e9196ead3,
סוכנים,Agent,sokhen sokh'nim,Business,,Agent,Business,svknym,bdf432981e1ea08dbccff434b4671b60,
המוצר,,,Business,,,Business,hmvtsr,791413e3026fae656f71bf09fc9ae5c4,
כרטיסי אשראי,,,Business,,,Business,krtysy shry,87246c6abf910b5f70be2b7d82b302f3,
כתובת,Address,k'tovet k'tovot,Home Sweet Home,,Address,Home,ktvbt,51e9148f455b1fb4bf461381edfed76c,
מעלית,"Elevator, Lift",ma'alit ma'aliyot,Home Sweet Home,,"Elevator, Lift",Home,m`lyt,a5d04ce7f6add5a5be8a547e64aa5af5,
דירה,"Apartment, Flat",dirah dirot,Home Sweet Home,,"Apartment, Flat",Home,dyrh,479116182eec440fd74c96cb27f01e4a,
האמבטיה,,,Home Sweet Home,,,Home,hmbtyh,e5aec5f8daae94e27f9a3b77d6ee5913,
המראה,,,Home Sweet Home,,,Home,hmrh,8b88c1d309979a40b86bf3232e7cdaa3,
ואחת,,,Home Sweet Home,,,Home,vkht,ea741f1d1cc34a1217a2c5649576fd2c,
